Timestamp,soil_moisture,soil_temperature,air_temperature,air_humidity,nitrogen,fosfor,kalium,ec
2026-07-05T09:07:11Z,23.7,8.4,24.4,75.6,128,232,163,3829
2026-07-05T09:08:12Z,23.5,8.4,24.4,75.5,128,232,163,3831
2026-07-05T09:09:12Z,23.3,8.4,24.4,75.9,127,232,163,3833
2026-07-05T09:10:15Z,23.2,8.4,24.5,76.2,126,232,162,3835
2026-07-05T09:11:15Z,23.0,8.4,24.5,76.0,125,232,162,3836
2026-07-05T09:17:20Z,22.2,8.3,24.4,76.7,118,232,161,3845
2026-07-05T09:22:24Z,21.6,8.3,24.6,75.8,117,231,160,3851
2026-07-05T09:27:24Z,21.2,8.3,24.5,77.7,115,230,160,3856
2026-07-05T09:32:24Z,20.7,8.2,24.5,78.1,113,230,159,3860
2026-07-05T09:37:24Z,20.4,8.2,24.4,78.3,112,229,159,3864
2026-07-05T09:42:26Z,20.1,8.2,24.3,79.6,111,229,158,3868
2026-07-05T09:47:27Z,19.8,8.2,24.2,80.2,109,229,158,3871
2026-07-05T09:52:27Z,19.5,8.2,24.1,80.0,109,228,158,3873
2026-07-05T09:57:27Z,19.1,8.1,23.9,80.7,108,228,157,3877
2026-07-05T10:02:27Z,18.8,8.1,23.7,81.4,106,227,157,3879
2026-07-05T10:07:27Z,18.5,8.1,23.7,81.7,106,226,156,3882
2026-07-05T10:12:27Z,18.3,8.1,23.6,82.7,105,225,156,3885
2026-07-05T10:17:27Z,18.1,8.1,23.4,82.4,104,225,156,3888
2026-07-05T10:22:28Z,17.9,8.0,23.1,82.7,103,223,155,3890
2026-07-05T10:27:29Z,17.7,8.0,23.1,82.3,102,223,155,3893
2026-07-05T10:32:29Z,17.5,8.0,22.9,82.4,102,222,155,3894
2026-07-05T10:37:29Z,17.3,8.0,22.8,82.2,101,220,155,3897
2026-07-05T10:42:30Z,17.1,8.0,22.6,82.9,101,219,154,3898
2026-07-05T10:47:36Z,17.0,8.0,22.4,84.0,100,218,154,3901
2026-07-05T10:52:37Z,16.8,8.0,22.4,84.5,100,217,154,3902
2026-07-05T10:57:40Z,16.7,8.0,22.3,85.3,100,216,154,3904
2026-07-05T11:03:00Z,16.5,8.0,22.2,85.5,99,215,154,3905
2026-07-05T11:08:01Z,16.4,7.9,22.2,85.7,99,214,153,3906
2026-07-05T11:13:04Z,16.2,7.9,22.1,87.5,98,213,153,3908
2026-07-05T11:18:05Z,16.1,7.9,22.0,87.8,98,212,153,3909
2026-07-05T11:23:05Z,16.0,7.9,21.9,87.8,98,211,153,3910
2026-07-05T11:28:05Z,15.9,7.9,21.9,87.8,98,211,153,3911
2026-07-05T11:33:06Z,15.7,7.9,21.9,88.0,97,210,153,3913
2026-07-05T11:38:06Z,15.6,7.9,21.9,87.6,97,210,153,3914
2026-07-05T11:43:07Z,15.6,7.9,21.8,87.9,97,209,153,3914
2026-07-05T11:48:07Z,15.5,7.9,21.9,87.3,97,209,152,3916
2026-07-05T11:53:08Z,15.3,7.9,21.8,87.5,96,208,152,3917
2026-07-05T11:58:09Z,15.3,7.9,21.7,87.8,96,208,152,3918
2026-07-05T12:03:09Z,15.2,7.9,21.5,88.6,96,207,152,3918
2026-07-05T12:08:09Z,15.1,7.9,21.5,88.8,95,206,152,3920
2026-07-05T12:13:09Z,15.0,7.9,21.6,88.8,95,206,152,3921
2026-07-05T12:18:10Z,15.0,7.9,21.5,90.5,95,205,152,3921
2026-07-05T12:23:10Z,14.9,7.9,21.5,89.9,95,205,152,3922
2026-07-05T12:28:10Z,14.8,7.9,21.4,90.2,95,205,152,3923
2026-07-05T12:33:10Z,14.8,7.8,21.3,90.5,95,204,151,3924
2026-07-05T12:38:10Z,14.7,7.8,21.3,89.7,94,204,151,3925
2026-07-05T12:43:10Z,14.6,7.8,21.2,89.1,94,204,151,3925
2026-07-05T12:48:10Z,14.5,7.8,21.2,89.6,94,203,151,3926
2026-07-05T12:53:11Z,14.5,7.8,21.1,90.0,93,203,151,3927
2026-07-05T12:58:11Z,14.4,7.8,21.0,89.6,93,202,151,3927
2026-07-05T13:03:11Z,14.3,7.8,20.9,90.0,93,202,151,3928
2026-07-05T13:08:11Z,14.3,7.8,20.8,90.5,93,202,151,3929
2026-07-05T13:13:11Z,14.2,7.8,20.7,89.5,93,201,151,3929
2026-07-05T13:18:11Z,14.1,7.8,20.7,88.9,92,200,151,3930
2026-07-05T13:23:11Z,14.1,7.8,20.6,89.8,92,200,151,3930
2026-07-05T13:28:11Z,14.0,7.8,20.6,89.3,92,199,151,3931
2026-07-05T13:33:11Z,13.9,7.8,20.5,89.5,92,198,150,3932
